ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
5줄 요약,18,6,7.47291069871715e-05,0.00024040387851590673,3.217004567673692
요약 txt,18,6,7.47291069871715e-05,0.00024040387851590673,3.217004567673692
fda 승인,12,4,4.9819404658114334e-05,0.0001602692523439378,3.217004567673692
나스닥 상장,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
오늘 상한가,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
금투세 무기한,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
무기한 유예거론됨,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
유예거론됨 txt,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
mou 체결,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
치료제 개발,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
전면 폐지,9,3,3.736455349358575e-05,0.00012020193925795337,3.217004567673692
주식으로 버는,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
최상의 시나리오,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
궁금한게 있는데,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
댓글 쓰는,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
한국 노리는,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
노리는 이유,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
전량 매도,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
covid 19,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
이유가 뭐냐,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
속보 사우디,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
월요일 시초에,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
차트를 보면,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
am juju,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
5월 2일,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
폭락하는 이유,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
차트 분석,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
문재인 사랑하고,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
사랑하고 고맙읍니다,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
청와대 공매금지,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
공매금지 국민청원,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
문제가 아니다,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
호재 뉴스,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
미국 유럽,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
현재 주가,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
수급 현황,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
목표가 상향,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
상한가 가자,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
유가 윤에게,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
다른건 모르겠고,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
원희룡x윤석열 주식,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
양도세 전면,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
주가 하락,6,2,2.4909702329057167e-05,8.01346261719689e-05,3.217004567673692
산업은행 블록딜,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
07 30,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
진짜 진지하게,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
이건 뭐냐,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
그렇게 사고,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
오지 않는다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
하고 싶은,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
나스닥 필반,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
전세계 매출,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
나스닥 개폭락중,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
이재명 1위,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
너무 너무,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주주님들 필독,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
