candidate,published_at,company_code,views,comment,title
000일,2022-01-31 21:29:00,064550,968,18,♤ 414일차 ♤ 株價 100만원 祈願   1000일 祈禱
000일,2021-07-31 21:24:00,064550,1294,12,♤ 230일차 ♤ 株價 100만원 祈願 1000일 祈禱
000일,2022-05-31 21:32:00,064550,637,12,"♤ 534일차 ♤ 株價 100만원 祈願  1,000일 祈禱"
000일,2022-12-31 21:29:00,064550,546,11,♤ 748일차 ♤ 株價 100만원 祈願 1000일 祈禱
000일,2022-07-31 21:30:00,064550,562,9,"♤ 595일차 ♤ 株價 100만원 祈願  1,000일 祈禱"
000일,2022-04-30 21:48:00,064550,542,6,"♤ 503일차 ♤ 株價 100만원 祈願  1,000일 祈禱"
000일,2021-07-31 22:43:00,095500,243,0,D~1000일
시작가,2020-04-30 23:02:00,520009,759,8,우리 시작가 어떻게되나?
시작가,2022-06-30 22:57:00,366030,672,7,7월18일 시작가
시작가,2023-05-31 22:45:00,281740,526,4,낼 시작가 15400~15500원
시작가,2021-11-30 23:09:00,197140,135,0,내일 장시작가가 얼마일까요 ㅜㅜㅜㅜ
아니구,2020-03-31 23:04:00,096530,888,6,Lg도 아니구 왜그러셔요 천대표님
아니구,2025-01-31 21:35:00,028300,612,7,보완완료? 15일만에? 보완계획 아니구?
아니구,2024-02-29 22:40:00,294140,1291,1,80% 90%감자도 아니구 50%감자에
아니구,2020-10-31 22:30:00,323990,324,4,꼴랑 8명 간암완전관해 별것두 아니구만
아니구,2024-01-31 23:08:00,065350,285,2,새삼 내려가는 테마주는 붙잡는 게 아니구나.
아니구,2025-11-30 21:38:00,066790,165,2,연대측 아니구나 이제 연대도 아니네
아니구,2020-12-31 23:21:00,036570,441,0,cddf형님 말하는거보니 정상 인이아니구나
아니구,2024-05-31 22:42:00,189300,128,0,별거아니구만ㅋㅋ
g20서,2021-10-31 21:55:00,052690,967,5,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
g20서,2021-10-31 21:51:00,130660,779,4,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
g20서,2021-10-31 21:56:00,034020,1482,1,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
석탄발전,2021-10-31 21:55:00,052690,967,5,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
석탄발전,2021-10-31 21:51:00,130660,779,4,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
석탄발전,2021-10-31 23:51:00,052690,625,4,석탄발전소 2기 해체
석탄발전,2021-10-31 22:02:00,034020,991,2,석탄발전소 폐기라는말은
석탄발전,2021-10-31 21:56:00,034020,1482,1,"[속보] 文, G20서 ""한국 2050년까지 석탄발전 전면 폐기"""
확인해라,2021-08-31 23:03:00,383310,1086,4,형 차트매스터다 그 전글 확인해라ㅋㅋ
확인해라,2020-01-31 22:45:00,065950,947,3,시외거래하려면 공시정보 확인해라
확인해라,2024-03-31 22:40:00,215360,409,6,샤오미 제조업체 장성기차란다. 히터 매출기껏해바야 확인해라 몃억도 아니고 몃천이란다 ㅋ
확인해라,2024-03-31 23:05:00,008930,255,0,잠이나 자라 주가는 내일9시에확인해라
신종코로나,2020-01-31 22:45:00,012690,856,5,"한국거래소, '신종코로나' 관련株 집중 모니터링 "
신종코로나,2020-01-31 22:44:00,045060,695,3,"한국거래소, '신종코로나' 관련株 집중 모니터링 "
신종코로나,2020-01-31 22:46:00,011000,869,2,"한국거래소, '신종코로나' 관련株 집중 모니터링 "
신종코로나,2020-01-31 22:41:00,001360,628,3," 신종코로나보다 치명적""···美는 독감 전쟁, 8200명 숨졌다 "
신종코로나,2020-01-31 23:33:00,068270,1004,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
신종코로나,2020-01-31 22:52:00,000660,977,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
신종코로나,2020-01-31 22:38:00,005930,584,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
나오는군요,2020-02-29 23:17:00,019170,1129,3,"아비간 수입 긴급 검토중 ~연합,YTN등 티비 뉴우스에 계속 나오는군요"
나오는군요,2021-12-31 20:58:00,136510,603,5,헐 인수철회..나오는군요...
나오는군요,2020-05-31 22:02:00,136510,551,4,EV-Z(제타)가 나오는군요
정말정말,2021-12-31 21:15:00,074610,870,4,특보)))))  뉴스가 정말정말 정말정말 정말정말 사실이라면~
말까,2021-04-30 23:03:00,011200,1271,17,연말까지 못볼 가격
말까,2020-07-31 23:35:00,000270,3367,5,내년 말까지 얼마 예상하십니까?
말까,2021-04-30 22:26:00,205470,1034,6,5월 말까지 5만원갈까요?
말까,2022-09-30 23:50:00,393890,896,3,살까 말까 살까 말까 하다가
말까,2020-01-31 23:58:00,065950,640,4,"ㅈ ㅓ,. . 오늘 팔까 말까 하다가 꼭,쥐고 있었습니다."
말까,2021-08-31 23:52:00,112040,788,3,주말까지
말까,2022-04-30 21:17:00,252670,615,4,곱버스 올연말까지 얼마까지 갈까
말까,2021-12-31 22:02:00,108490,1104,1,1월말까지 6만원
말까,2021-07-31 23:52:00,001550,629,2,뉴스에  남북 정상 회담 말까지 나오네 ㄷ
말까,2022-05-31 22:28:00,001440,843,1,연말까지
좃됐네요,2021-01-31 23:13:00,009830,1856,9,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 23:29:00,005935,1386,8,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 22:56:00,000270,1395,6,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 22:46:00,012330,1377,4,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 23:05:00,000660,1519,3,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 22:48:00,051910,1430,3,올해 주식 매수한 사람들은 다 좃됐네요
